Model,Mean SSPE,Std SSPE,Median SSPE,Q25 SSPE,Q75 SSPE,Win Count,Win %,N
PCReg_CV_Tight,0.0429644716896265,0.09103004538616431,0.004119657213886836,0.00013067766233306976,0.03917882342476689,1252,20.609053497942387,6075
PCReg_ConstrainOnly,0.07983251215010094,0.263705291215314,0.005234115205707073,0.00012881880520348042,0.04788183155727119,990,16.296296296296298,6075
PCReg_LogMSE,0.08620871948057858,0.2887755072328092,0.005342611876127937,0.00035751349048095045,0.052405879961864237,17,0.27983539094650206,6075
PCReg_MSE,0.10616379836432192,0.33283960335162477,0.007618669571946999,0.0004445600662232077,0.07030592814397685,760,12.510288065843621,6075
PCReg_CV,0.10917052454797678,0.4353804027583829,0.0052186176571459315,0.0001336743029985759,0.05444546100148416,210,3.45679012345679,6075
PCReg_CV_Wrong,0.10938379848394758,0.4357842020212949,0.00523317740344822,0.00013377874810951892,0.05414975261803172,173,2.847736625514403,6075
OLS,0.1146305528980115,0.7557130487682423,0.005500359564737401,0.000358024991225678,0.055721383129357725,491,8.08230452674897,6075
PCReg_GCV,0.12199847651735,0.4799527545198226,0.005967844242692721,0.0001281831748650458,0.06098360043987508,307,5.053497942386831,6075
BayesianRidgeModel,0.14089510918053766,0.7856842692918158,0.005656022149088736,0.0003465232885059033,0.06161104158533964,308,5.0699588477366255,6075
PCReg_LogMSE_CV,0.1525121502281473,0.6452953813711665,0.006582435295606803,0.00048266290932874557,0.06664020040614517,315,5.185185185185185,6075
Ridge,0.15798748535884638,1.0643719388877546,0.005809533527530734,0.00036618685078471656,0.06601598204247944,216,3.5555555555555554,6075
PCReg_MSE_CV,0.19940858515800206,0.68797115270724,0.009458662350414057,0.0004891964346633048,0.09797751607236771,348,5.728395061728395,6075
Lasso,0.20136783741552441,1.0043233606670563,0.007199318368056174,0.0004962795688758933,0.07357337938613126,468,7.703703703703703,6075
OLS_LearnOnly,0.8658043127910027,2.5266069928319084,0.14097354699676035,0.03152278186089123,0.7154714260111478,220,3.6213991769547325,6075
